layer_size,momentum,number_of_features,mean_score,std_score
50,0.9,38,0.41596205962059624,0.12090846597883194
300,0,38,0.4270736634639073,0.08256406275787058
300,0.9,38,0.5658462675535846,0.036726820967374646
600,0,38,0.3937452574525745,0.05408103738258923
600,0.9,38,0.5516319290465632,0.06471552717744776
50,0,39,0.3724513426952451,0.09302059289634733
50,0.9,39,0.43507464892830744,0.07436836967397759
300,0,39,0.40908253264350825,0.07112844588758141
300,0.9,39,0.5443232323232323,0.05217770862656075
600,0,39,0.41176496674057655,0.041581674860915595
600,0.9,39,0.5558674550381867,0.05567261055694905
50,0,40,0.35580881990638086,0.10040885952704015
50,0.9,40,0.4648085735402809,0.11908158315701847
300,0,40,0.4346016260162601,0.07708374217740971
300,0.9,40,0.5784676028578467,0.020947979572523624
600,0,40,0.46079428430647945,0.07461817573741064
600,0.9,40,0.5182764227642276,0.09089512801753462
50,0,41,0.39292338014289235,0.06354231860312565
50,0.9,41,0.4359645232815964,0.09424359311682823
300,0,41,0.43484552845528457,0.058268329576215465
300,0.9,41,0.5567198817442721,0.04238940878498372
600,0,41,0.419929539295393,0.07882198684055916
600,0.9,41,0.5596122197585612,0.057612911091942366
50,0,42,0.39799605814239963,0.06512759793587122
50,0.9,42,0.4754166050751417,0.08418560348710238
300,0,42,0.40309928553830987,0.08572327159149751
300,0.9,42,0.5560532150776054,0.03141469699366944
600,0,42,0.4239768415865977,0.07193641332048505
600,0.9,42,0.562909583641291,0.04794613591442884
